"ExhibitionID","ExhTitle","ExhibEndDate","ExhibBeginYear","ExhibEndYear","Textblock","WaltersArtworks"
"3827","If Books Could Kill","3/8/2025"," 2024","2025","If Books Could Kill. The Walters Art Museum, Baltimore. 2024-2025.","2983|7525|8162|9218|11979|12654|14825|27956|28280|97121|102973"
"3818","Reinstallation 2024: Art and Process","9/3/2025"," 2024","2025","Reinstallation 2024: Art and Process. The Walters Art Museum, Baltimore. 2024-2025.","299|504|1098|1952|3071|3360|3623|3792|4199|4823|5938|6697|7699|7872|9373|9866|10097|10405|10955|10990|13329|13453|14276|15612|15925|18219|19759|21057|21639|22083|22333|22652|23217|23814|24760|25287|26866|27230|27412|27988|28031|30809|31158|31436|32905|33743|35806|36169|36225|36320|36782|37377|38102|38672|39728|77226|79167|88538|102895|103078"
"3816","Healing the Body, Healing the Soul","15/12/2024"," 2024","2024","Healing the Body, Healing the Soul. The Walters Art Museum, Baltimore. 2024.","3536|4017|7045|8054|10356|15371|16027|21340|25688|31535|32220|32876|33521|34546|39905|40576|40777|84341|84342|84343|84344"
"3809","Elizabeth Talford Scott Community Celebration","12/5/2024"," 2024","2024","Elizabeth Talford Scott Community Celebration. The Walters Art Museum, Baltimore. 2024.","30968"
"3803","New on the Bookshelf: Expanded Narratives, part II","16/6/2024"," 2023","2024","New on the Bookshelf: Expanded Narratives, part II. The Walters Art Museum, Baltimore. 2023-2024.","97121|97304|102973"
"3793","New on the Bookshelf: Expanded Narratives, part I","10/12/2023"," 2023","2023","New on the Bookshelf: Expanded Narratives, part I. The Walters Art Museum, Baltimore. 2023.","32663|82250|85656|99862|100982|101806|102278"
"3786","Quiet Beauty: The Watercolors of Léon Bonvin","13/8/2023"," 2023","2023","Quiet Beauty: The Watercolors of Léon Bonvin. The Walters Art Museum, Baltimore. 2023.","1809|2570|3154|6737|8803|9003|11035|13540|13987|17483|18953|19201|22149|35336|39561|40034"
"3702","Majolica Mania","7/8/2022"," 2021","2022","Majolica Mania. The Bard Graduate Center, New York; The Walters Art Museum, Baltimore. 2021-2022.","5249|6393|12224|12795|38640|92413|92415|92416|96460|99829|100974|101353"
"3693","Betty Cooke: The Circle and the Line","6/2/2022"," 2021","2022","Betty Cooke: The Circle and the Line. The Walters Art Museum, Baltimore. 2021-2022.","1012|21669|28296|38148"
"3607","Boldini and his Circle","2/5/2021"," 2018","2021","Boldini and his Circle. The Walters Art Museum, Baltimore. 2018-2021.","941|5117|5312|5667|17847|18862|19983|20251|21331|24467|26248|27564|37641|99991"
"3663","The Saint Francis Missal","31/5/2020"," 2020","2020","The Saint Francis Missal. The Walters Art Museum, Baltimore. 2020.","1252|1681|1989|6060|8166|9283|11803|15540|16876|18326|21005|25319|27655|34845|35275|35855|36938|40777|40815|85657"
"3514","Japanese Woodblock Prints: The Art of Collaboration","6/1/2019"," 2018","2019","Japanese Woodblock Prints: The Art of Collaboration. The Walters Art Museum, Baltimore. 2018-2019.","880|1292|1435|1773|3310|4750|7711|8048|9491|9711|11354|11563|11711|11730|17454|19345|20815|20846|23178|23741|24232|26040|27329|27949|28461|29539|31267|32042|32117|32707|32770|32801|33082|34051|35094|37188|39175|39198|39701|40181|82715|82716|83527"
"3603","Transformation: Art of the Ancient Americas","6/10/2019"," 2018","2019","Transformation: Art of the Ancient Americas. The Walters Art Museum, Baltimore. 2018-2019.","18881|22546|78397|78398|78400|78401|80181|80184|80220|80229|80245|80260|80281|80292|80311|80332|80337|80354|80404|80414|80437"
"3604","Animal Tales","11/8/2019"," 2019","2019","Animal Tales. The Walters Art Museum, Baltimore. 2019.","4040|6433|13018|19922|23682|26050|28630|29517|30467|33418|34836|77572|81320|85656|99862"
"3605","The Return of the Buddha","12/5/2019"," 2018","2019","The Return of the Buddha. The Walters Art Museum, Baltimore. 2018-2019.","11606"
"3423","Fabergé and the Russian Crafts Tradition: An Empire's Legacy ","24/6/2018"," 2017","2018","Fabergé and the Russian Crafts Tradition: An Empire's Legacy . The Walters Art Museum, Baltimore. 2017-2018.","585|1327|1349|3500|4308|4432|5524|7359|8780|9860|10015|10196|10274|11357|14200|14426|14699|14933|15225|17661|18942|19302|19586|20306|21055|21423|21654|21818|21841|23879|25828|26390|27974|28582|28720|29546|30710|31094|31663|31879|39354|40436|82257|82274|82278|82282|82294|82310|82311|82317|82320|82326|82329|82372|82376|82404|82405|82406|82407|82414|82415|82417|82418|82432|82441|82448|82458|82461|82470|82472|82480|82488|82504|82510|90633|98114|98165|99769|99770|99771|99772|99773|99774|99775|99776"
"3532","Crowning Glory: Art of the Americas","7/10/2018"," 2018","2018","Crowning Glory: Art of the Americas. The Walters Art Museum, Baltimore. 2018.","5839|15663|20005|30958|33518|78424|79373|79377|79393|79419|79440|80165|80182|80183|80192|80197|80349|85463|85468"
