"LocationID","DisplayCurrentLocation","Site","Floor","Area","Room","UnitType","PublicAccess","LocationURL"
"1","Not On View ","Not On View ","Not On View ","Not On View ","","","1","https://art.thewalters.org/browse/location/not-on-view2"
"2","Centre Street: Second Floor: Lobby","Centre Street"," Second Floor"," Lobby","","","1","https://art.thewalters.org/browse/location/ancient-world-lobby"
"5","Centre Street: Second Floor: Greek Art","Centre Street"," Second Floor"," Greek Art","","","1","https://art.thewalters.org/browse/location/greek-art"
"6","Centre Street: Second Floor: Ancient Treasury","Centre Street"," Second Floor"," Ancient Treasury","","","1","https://art.thewalters.org/browse/location/ancient-treasury"
"7","Centre Street: Second Floor: Roman Art","Centre Street"," Second Floor"," Roman Art","","","1","https://art.thewalters.org/browse/location/roman-art"
"8","Centre Street: Second Floor: Ancient Near Eastern Art","Centre Street"," Second Floor"," Ancient Near Eastern Art","","","1","https://art.thewalters.org/browse/location/ancient-near-eastern-art"
"9","Centre Street: Second Floor: Egyptian Art","Centre Street"," Second Floor"," Egyptian Art","","","1","https://art.thewalters.org/browse/location/egyptian-art"
"10","Centre Street: Third Floor: Lobby","Centre Street"," Third Floor"," Lobby","","","1","https://art.thewalters.org/browse/location/medieval-world-lobby2"
"11","Centre Street: Third Floor: Early Byzantine Art","Centre Street"," Third Floor"," Early Byzantine Art","","","1","https://art.thewalters.org/browse/location/early-byzantine-art"
"16","Centre Street: Third Floor: Islamic Art","Centre Street"," Third Floor"," Islamic Art","","","1","https://art.thewalters.org/browse/location/islamic-art"
"34","Centre Street: Third Floor: 15th-Century Art of Northern Europe","Centre Street"," Third Floor"," 15th-Century Art of Northern Europe","","","1","https://art.thewalters.org/browse/location/15th-century-art-of-northern-europe"
"38","Centre Street: Second Floor: Etruscan Art","Centre Street"," Second Floor"," Etruscan Art","","","1","https://art.thewalters.org/browse/location/etruscan-art"
"586","Centre Street: Third Floor: Migration and Early Medieval Art","Centre Street"," Third Floor"," Migration and Early Medieval Art","","","1","https://art.thewalters.org/browse/location/migration-and-early-medieval-art"
"589","Centre Street: Third Floor: Byzantine, Russian, and Ethiopian Icons","Centre Street"," Third Floor"," Byzantine, Russian, and Ethiopian Icons","","","1","https://art.thewalters.org/browse/location/byzantine-russian-and-ethiopian-icons"
"592","Centre Street: Third Floor: Romanesque and Gothic Art","Centre Street"," Third Floor"," Romanesque and Gothic Art","","","1","https://art.thewalters.org/browse/location/romanesque-and-gothic-art"
"593","Centre Street: Third Floor: Islamic Arms and Armor","Centre Street"," Third Floor"," Islamic Arms and Armor","","","1","https://art.thewalters.org/browse/location/islamic-arms-and-armor"
"594","Out On Exhibition Loan","Out On Exhibition Loan","Out On Exhibition Loan","Out On Exhibition Loan","","","1","https://art.thewalters.org/browse/location/out-on-exhibition-loan"
"605","Centre Street: Fourth Floor: Building the Collection - 19th-Century European and American Art","Centre Street"," Fourth Floor"," Building the Collection - 19th-Century European and American Art","","","1","https://art.thewalters.org/browse/location/building-the-collection---19th-century-european-and-american-art"
"608","Centre Street: Third Floor: The Great Room","Centre Street"," Third Floor"," The Great Room","","","1","https://art.thewalters.org/browse/location/the-great-room"
"609","Centre Street: Fourth Floor: Conservation Window","Centre Street"," Fourth Floor"," Conservation Window","","","1","https://art.thewalters.org/browse/location/conservation-window"
"798","Centre Street: Third Floor: International Gothic","Centre Street"," Third Floor"," International Gothic","","","1","https://art.thewalters.org/browse/location/international-gothic"
