ObjectID,AccessionNumber,MediaXrefID,ImageURL,Filename,MediaType,MediaView,Rank,IsPrimary
39420,11.1,38551,https://art.thewalters.org/images/raw/PS1_11.1_Fnt_DD_T12.jpg,PS1_11.1_Fnt_DD_T12.jpg,Image,Front,1,1
92411,11.4,75322,https://art.thewalters.org/images/raw/PL7_11.4_Fnt_TR_T03I-tms.jpg,PL7_11.4_Fnt_TR_T03I-tms.jpg,Image,front,1,1
92412,11.5,59160,https://art.thewalters.org/images/raw/PS1_11.5.binding_UpperCoverDet_DD_T14.jpg,PS1_11.5.binding_UpperCoverDet_DD_T14.jpg,Image,detail,2,0
92412,11.5,75283,https://art.thewalters.org/images/raw/PL7_11.5_Fnt_TR_T03I-tms.jpg,PL7_11.5_Fnt_TR_T03I-tms.jpg,Image,front,1,1
39970,11.9,59161,https://art.thewalters.org/images/raw/PS1_11.9.binding_UpperCoverDetA_DD_T14.jpg,PS1_11.9.binding_UpperCoverDetA_DD_T14.jpg,Image,detail,1,1
97304,15.34.1,83765,https://art.thewalters.org/images/raw/CPS_15.34.1_1v_DD_AST18-tms.jpg,CPS_15.34.1_1v_DD_AST18-tms.jpg,Image,full page,2,0
97304,15.34.1,83766,https://art.thewalters.org/images/raw/CPS_15.34.1_2r_DD_AST18-tms.jpg,CPS_15.34.1_2r_DD_AST18-tms.jpg,Image,full page,3,0
97304,15.34.1,83767,https://art.thewalters.org/images/raw/CPS_15.34.1_2vDetInscription_DD_AST18.jpg,CPS_15.34.1_2vDetInscription_DD_AST18.jpg,Image,detail,4,0
97304,15.34.1,83768,https://art.thewalters.org/images/raw/CPS_15.34.1_2v_DD_AST18-tms.jpg,CPS_15.34.1_2v_DD_AST18-tms.jpg,Image,full page,5,0
97304,15.34.1,83764,https://art.thewalters.org/images/raw/CPS_15.34.1_1r_DD_AST18-tms.jpg,CPS_15.34.1_1r_DD_AST18-tms.jpg,Image,full page,1,1
98114,15.35.46,81132,https://art.thewalters.org/images/raw/PS1_15.35.46_Fnt_DD_T17 2-tms.jpg,PS1_15.35.46_Fnt_DD_T17 2-tms.jpg,Image,front,1,1
98165,15.35.53,81134,https://art.thewalters.org/images/raw/PS1_15.35.53_Back_DD_T17-tms.jpg,PS1_15.35.53_Back_DD_T17-tms.jpg,Image,back,2,0
98165,15.35.53,81136,https://art.thewalters.org/images/raw/PS1_15.35.53_FntRel_DD_T17-tms.jpg,PS1_15.35.53_FntRel_DD_T17-tms.jpg,Image,front,3,0
98165,15.35.53,81133,https://art.thewalters.org/images/raw/PS1_15.35.53_BackRel_DD_T17-tms.jpg,PS1_15.35.53_BackRel_DD_T17-tms.jpg,Image,back,4,0
98165,15.35.53,81135,https://art.thewalters.org/images/raw/PS1_15.35.53_Det_DD_T17-tms.jpg,PS1_15.35.53_Det_DD_T17-tms.jpg,Image,detail,5,0
98165,15.35.53,81137,https://art.thewalters.org/images/raw/PS1_15.35.53_Fnt_DD_T17-tms.jpg,PS1_15.35.53_Fnt_DD_T17-tms.jpg,Image,front,1,1
98854,1946.316.1,89355,https://art.thewalters.org/images/raw/CPS_1946.316.1_DD_000052_300-tms.jpg,CPS_1946.316.1_DD_000052_300-tms.jpg,Image,,2,0
98854,1946.316.1,89356,https://art.thewalters.org/images/raw/CPS_1946.316.1_DD_000060_300-tms.jpg,CPS_1946.316.1_DD_000060_300-tms.jpg,Image,,3,0
98854,1946.316.1,89357,https://art.thewalters.org/images/raw/CPS_1946.316.1_DD_000068_300-tms.jpg,CPS_1946.316.1_DD_000068_300-tms.jpg,Image,,4,0
98854,1946.316.1,89358,https://art.thewalters.org/images/raw/CPS_1946.316.1_DD_000078_300-tms.jpg,CPS_1946.316.1_DD_000078_300-tms.jpg,Image,,5,0
98854,1946.316.1,89359,https://art.thewalters.org/images/raw/CPS_1946.316.1_DD_000093_300-tms.jpg,CPS_1946.316.1_DD_000093_300-tms.jpg,Image,,6,0
98854,1946.316.1,89360,https://art.thewalters.org/images/raw/CPS_1946.316.1_DD_000122_300-tms.jpg,CPS_1946.316.1_DD_000122_300-tms.jpg,Image,,7,0
98854,1946.316.1,89361,https://art.thewalters.org/images/raw/CPS_1946.316.1_DD_000141_300-tms.jpg,CPS_1946.316.1_DD_000141_300-tms.jpg,Image,,8,0
98854,1946.316.1,89362,https://art.thewalters.org/images/raw/CPS_1946.316.1_DD_000154_300-tms.jpg,CPS_1946.316.1_DD_000154_300-tms.jpg,Image,,9,0
