"id","art1","art2","relationship1","relationship2"
"43839","13286","20508","See Also, One of a Pair","See Also, One of a Pair"
"68411","13576","90997","Book","Part of a Book"
"44038","27338","4067","See Also, One of a Pair","See Also, One of a Pair"
"44091","11180","18979","See Also, One of a Pair","See Also, One of a Pair"
"44710","29350","39627","See Also, One of a Pair","See Also, One of a Pair"
"68410","13576","90996","Book","Part of a Book"
"44718","39972","32644","See Also, Part of Set","See Also, Part of Set"
"44719","26158","32644","See Also, Part of Set","See Also, Part of Set"
"44720","7707","32644","See Also, Part of Set","See Also, Part of Set"
"44721","12375","32644","See Also, Part of Set","See Also, Part of Set"
"44722","25391","32644","See Also, Part of Set","See Also, Part of Set"
"44728","26158","39972","See Also, Part of Set","See Also, Part of Set"
"44729","7707","39972","See Also, Part of Set","See Also, Part of Set"
"44730","12375","39972","See Also, Part of Set","See Also, Part of Set"
"44731","25391","39972","See Also, Part of Set","See Also, Part of Set"
"44732","7707","26158","See Also, Part of Set","See Also, Part of Set"
"44733","12375","26158","See Also, Part of Set","See Also, Part of Set"
"44734","25391","26158","See Also, Part of Set","See Also, Part of Set"
"44735","12375","7707","See Also, Part of Set","See Also, Part of Set"
"44736","25391","7707","See Also, Part of Set","See Also, Part of Set"
"44737","25391","12375","See Also, Part of Set","See Also, Part of Set"
"68409","13576","90995","Book","Part of a Book"
"44870","1981","12200","See Also, One of a Pair","See Also, One of a Pair"
"45076","29938","10552","See Also, One of a Pair","See Also, One of a Pair"
"45089","33853","25019","See Also, One of a Pair","See Also, One of a Pair"
"45101","32422","23870","See Also, One of a Pair","See Also, One of a Pair"
"45123","5143","22633","See Also, One of a Pair","See Also, One of a Pair"
"68408","13576","90994","Book","Part of a Book"
"45313","17555","17973","Whole","Component"
"45401","26691","36729","See Also, One of a Pair","See Also, One of a Pair"
"78259","35309","23254","Variation","Variation"
"45433","26201","36549","See Also, Part of Set","See Also, Part of Set"
"45471","23226","17603","See Also, One of a Pair","See Also, One of a Pair"
"45479","3686","13578","Whole","Component"
"45489","36342","1382","See Also, One of a Pair","See Also, One of a Pair"
"45544","13986","35472","See Also, One of a Pair","See Also, One of a Pair"
"45545","31084","21610","See Also, One of a Pair","See Also, One of a Pair"
"68407","13576","90993","Book","Part of a Book"
"68406","13576","90992","Book","Part of a Book"
"45672","13523","34305","Whole","Component"
"45681","13523","18232","Whole","Component"
"45685","13523","20734","Whole","Component"
"45689","13523","16831","Whole","Component"
"45834","40636","11387","See Also, One of a Pair","See Also, One of a Pair"
"45938","8945","40812","Whole","Component"
"45963","26906","40767","See Also, One of a Pair","See Also, One of a Pair"
"68405","13576","90991","Book","Part of a Book"
"68404","13576","90990","Book","Part of a Book"
"46093","1720","20411","Whole","Component"
"46116","22284","15694","Whole","Component"
"68403","13576","90989","Book","Part of a Book"
"68402","13576","90988","Book","Part of a Book"
"46170","33858","22731","See Also, Part of Set","See Also, Part of Set"
"46171","21123","22731","See Also, Part of Set","See Also, Part of Set"
"46172","40693","22731","See Also, Part of Set","See Also, Part of Set"
"46173","21123","33858","See Also, Part of Set","See Also, Part of Set"
"46174","40693","33858","See Also, Part of Set","See Also, Part of Set"
"46175","40693","21123","See Also, Part of Set","See Also, Part of Set"
"68401","13576","90987","Book","Part of a Book"
"46207","27865","5617","See Also, One of a Pair","See Also, One of a Pair"
"46209","36531","3596","Whole","Component"
"68400","13576","90986","Book","Part of a Book"
"43791","18294","3520","See Also, Part of Set","See Also, Part of Set"
"46275","17182","35264","Whole","Component"
"46276","17182","20957","Whole","Component"
"68399","13576","90985","Book","Part of a Book"
"46333","21440","35991","See Also, One of a Pair","See Also, One of a Pair"
"46370","779","375","See Also, One of a Pair","See Also, One of a Pair"
"46398","24760","23217","Parent","Child"
"46444","31439","15515","Whole","Component"
"46476","28840","20101","Parent","Child"
"46496","23195","8887","See Also, One of a Pair","See Also, One of a Pair"
"68398","13576","90984","Book","Part of a Book"
"46672","31439","21069","Whole","Component"
"46686","30908","23436","See Also, One of a Pair","See Also, One of a Pair"
"46692","21990","36434","Whole","Component"
"46693","21990","19558","Whole","Component"
"46695","30935","21191","Parent","Child"
"47035","864","31537","See Also, One of a Pair","See Also, One of a Pair"
"68397","13576","90983","Book","Part of a Book"
"47152","7956","991","See Also, One of a Pair","See Also, One of a Pair"
"47333","21191","30935","See Also, One of a Pair","See Also, One of a Pair"
"47346","719","39475","See Also, One of a Pair","See Also, One of a Pair"
"47395","35292","26762","See Also, One of a Pair","See Also, One of a Pair"
"47530","30334","1978","See Also, One of a Pair","See Also, One of a Pair"
"68396","13576","90982","Book","Part of a Book"
"47578","11147","3422","Parent","Child"
"47598","5502","37941","See Also, One of a Pair","See Also, One of a Pair"
"47648","23934","2436","See Also, One of a Pair","See Also, One of a Pair"
"47747","28072","29317","See Also, One of a Pair","See Also, One of a Pair"
"47748","3566","6040","See Also, Part of Set","See Also, Part of Set"
"47764","6933","31911","See Also, One of a Pair","See Also, One of a Pair"
"47930","18245","12314","See Also, One of a Pair","See Also, One of a Pair"
"68395","13576","90981","Book","Part of a Book"
"48068","7697","12944","See Also, One of a Pair","See Also, One of a Pair"
"48134","19034","34348","See Also, One of a Pair","See Also, One of a Pair"
"48282","9185","2071","See Also, One of a Pair","See Also, One of a Pair"
"48287","20101","28840","See Also, One of a Pair","See Also, One of a Pair"
"48411","26073","19832","See Also, One of a Pair","See Also, One of a Pair"
"68394","13576","90980","Book","Part of a Book"
"48418","3422","11147","See Also, One of a Pair","See Also, One of a Pair"
"68393","13576","90979","Book","Part of a Book"
"48640","15090","26945","See Also, One of a Pair","See Also, One of a Pair"
"68392","13576","90978","Book","Part of a Book"
"48717","8887","23195","Parent","Child"
"68391","13576","90977","Book","Part of a Book"
"68390","13576","90976","Book","Part of a Book"
"68389","13576","90975","Book","Part of a Book"
